Date,App_Name,Category,Minutes_Used
2026-07-21,TikTok,Social Media,67
2026-07-21,LeetCode,Coding,23
2026-07-21,Netflix,Entertainment,58
2026-07-21,YouTube,Entertainment,49
2026-07-21,GitHub,Coding,21
2026-07-21,X (Twitter),Social Media,57
2026-07-22,TikTok,Social Media,65
2026-07-22,Gmail,Productivity,25
2026-07-22,Instagram,Social Media,64
2026-07-22,YouTube,Entertainment,49
2026-07-22,GitHub,Coding,63
2026-07-22,Kindle,Education,12
2026-07-22,Notion,Productivity,19
2026-07-22,Netflix,Entertainment,52
2026-07-22,LeetCode,Coding,45
2026-07-23,Notion,Productivity,9
2026-07-23,Gmail,Productivity,11
2026-07-23,X (Twitter),Social Media,68
2026-07-23,Duolingo,Education,15
2026-07-23,Spotify,Entertainment,21
2026-07-23,Netflix,Entertainment,20
2026-07-24,Instagram,Social Media,44
2026-07-24,Spotify,Entertainment,20
2026-07-24,Notion,Productivity,22
2026-07-24,VS Code,Coding,47
2026-07-24,Netflix,Entertainment,55
2026-07-24,TikTok,Social Media,59
2026-07-24,Coursera,Education,33
2026-07-24,GitHub,Coding,56
2026-07-24,Kindle,Education,23
2026-07-25,LeetCode,Coding,14
2026-07-25,Instagram,Social Media,47
2026-07-25,TikTok,Social Media,83
2026-07-25,GitHub,Coding,17
2026-07-25,YouTube,Entertainment,88
2026-07-25,Netflix,Entertainment,76
2026-07-25,Notion,Productivity,10
2026-07-26,Spotify,Entertainment,89
2026-07-26,YouTube,Entertainment,78
2026-07-26,GitHub,Coding,17
2026-07-26,Netflix,Entertainment,101
2026-07-26,Instagram,Social Media,63
2026-07-26,X (Twitter),Social Media,76
2026-07-26,Notion,Productivity,6
2026-07-26,VS Code,Coding,14
2026-07-27,Notion,Productivity,23
2026-07-27,Spotify,Entertainment,60
2026-07-27,Duolingo,Education,15
2026-07-27,Netflix,Entertainment,28
2026-07-27,Instagram,Social Media,61
2026-07-27,YouTube,Entertainment,46
2026-07-28,GitHub,Coding,64
2026-07-28,Coursera,Education,33
2026-07-28,X (Twitter),Social Media,57
2026-07-28,Netflix,Entertainment,40
2026-07-28,LeetCode,Coding,56
2026-07-28,YouTube,Entertainment,29
2026-07-28,Gmail,Productivity,9
2026-07-28,Spotify,Entertainment,47
2026-07-28,Notion,Productivity,20
2026-07-29,Notion,Productivity,24
2026-07-29,TikTok,Social Media,24
2026-07-29,Instagram,Social Media,44
2026-07-29,X (Twitter),Social Media,44
2026-07-29,GitHub,Coding,86
2026-07-29,Duolingo,Education,19
2026-07-30,Kindle,Education,14
2026-07-30,TikTok,Social Media,47
2026-07-30,GitHub,Coding,30
2026-07-30,Instagram,Social Media,49
2026-07-30,Gmail,Productivity,5
2026-07-30,Netflix,Entertainment,31
2026-07-30,Spotify,Entertainment,47
2026-07-30,Notion,Productivity,10
2026-07-31,Gmail,Productivity,9
2026-07-31,GitHub,Coding,57
2026-07-31,Netflix,Entertainment,25
2026-07-31,Notion,Productivity,22
2026-07-31,Kindle,Education,35
2026-07-31,YouTube,Entertainment,48
2026-08-01,VS Code,Coding,19
2026-08-01,Spotify,Entertainment,60
2026-08-01,Coursera,Education,6
2026-08-01,TikTok,Social Media,65
2026-08-01,Instagram,Social Media,45
2026-08-01,Notion,Productivity,7
2026-08-02,Gmail,Productivity,24
2026-08-02,Instagram,Social Media,89
2026-08-02,Kindle,Education,35
2026-08-02,X (Twitter),Social Media,62
2026-08-02,GitHub,Coding,34
2026-08-02,Coursera,Education,29
2026-08-02,VS Code,Coding,12
2026-08-02,LeetCode,Coding,19
2026-08-02,Netflix,Entertainment,81
2026-08-03,Coursera,Education,5
2026-08-03,Kindle,Education,23
2026-08-03,Gmail,Productivity,22
2026-08-03,Instagram,Social Media,34
2026-08-03,YouTube,Entertainment,52
2026-08-03,VS Code,Coding,38
2026-08-03,GitHub,Coding,10
2026-08-03,X (Twitter),Social Media,24
